Model_ID,Coin,TimeFrame,RMSE,Direction_Acc,Features
log_ret_close,ETH,1d,0.03735387034398411,52.07%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03741079795956005,54.55%,"['log_ret_vol', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03748672071559293,55.37%,"['rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.037498026893269934,50.41%,"['volatility', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03753434793979758,59.50%,"['macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03755591408045567,54.55%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.037576843736051746,51.24%,"['bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03760000426153464,54.55%,"['volatility', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03760799285281608,50.00%,"['log_ret_vol', 'volatility', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03766884267824181,51.65%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.0376878525274838,50.83%,"['log_ret_vol', 'rsi', 'log_ret_close']"
log_ret_close,ETH,1d,0.03770155279559108,55.37%,"['rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03771848498929807,51.24%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03772291618949308,52.07%,"['log_ret_vol', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03774474439963185,54.13%,"['rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03775817784646742,54.96%,"['volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03776673394729457,54.96%,"['rsi', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.03777536327729915,51.65%,"['volatility', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03777585514809928,50.41%,"['atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03777904820131655,52.48%,"['volatility', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03778889115044632,47.93%,"['volatility', 'log_ret_close']"
log_ret_close,ETH,1d,0.03781855482918311,46.28%,['log_ret_close']
log_ret_close,ETH,1d,0.03782010704130989,53.72%,"['log_ret_vol', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03782012058704132,51.24%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03785989313198374,50.00%,"['log_ret_vol', 'volatility', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03788874420099296,54.55%,"['macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.0379194681432459,53.72%,"['log_ret_vol', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.037925539978600695,47.52%,"['log_ret_vol', 'volatility', 'rsi', 'log_ret_close']"
log_ret_close,ETH,1d,0.03792573797878365,52.89%,"['log_ret_vol', 'volatility', 'log_ret_close']"
log_ret_close,ETH,1d,0.03802160592969086,47.93%,"['bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.0380310250612913,52.07%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.038042766343478106,48.35%,"['volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03808813177126491,51.24%,"['log_ret_vol', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.038090861348099504,47.11%,"['log_ret_vol', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03810862042320527,45.04%,"['volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.038126325371654855,47.11%,"['macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03815611751862569,52.48%,"['rsi', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.038164558865687696,50.83%,"['macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.03816467078684115,48.76%,"['volatility', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.038192225327776975,48.35%,"['rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03821396167502441,48.35%,"['log_ret_vol', 'volatility', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.038272074448093246,48.35%,"['log_ret_vol', 'log_ret_close']"
log_ret_close,ETH,1d,0.03838550109427975,47.93%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03838580826881356,51.65%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.0383879409982148,47.52%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.038392316539744675,49.59%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03839763396893447,49.17%,"['log_ret_vol', 'volatility', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03848381826005689,47.52%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03848720474770817,46.69%,"['log_ret_vol', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03849569949909853,47.93%,"['log_ret_vol', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.03858479127051782,49.17%,"['log_ret_vol', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.038598269746839345,51.24%,"['log_ret_vol', 'rsi', 'macd', 'atr', 'log_ret_close']"
