date,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,bollinger_bands,atr
2020-08-22,387.93,397.04,379.92,395.24,643235.76543,0.01856515828043026,-0.2915817025113423,0.8166763237682196,54.97035749796699,-10.65102012523846,0.38028182903518337,26.147539381221033
2020-08-23,395.23,396.95,383.15,390.71,445317.81989,-0.01152757850754238,-0.367723092530559,0.5693642916390002,53.308619865006975,-11.036537213158773,0.3157213493112979,25.18837271980694
2020-08-24,390.72,410.42,387.44,407.68,717403.81877,0.04251695612452444,0.4768506589080719,0.9650728013603879,58.38393726324499,-9.93285434864245,0.5293737786922623,25.017890466749858
2020-08-25,407.68,409.06,370.0,382.93,970445.38395,-0.06263034809115631,0.30211623667423204,1.3446110429029725,49.86977455985489,-10.59346063424612,0.21703972807848007,26.09569664941
2020-08-26,382.91,392.91,377.37,385.81,738690.7794,0.007492815449008816,-0.27287572256933323,0.9794553165456467,50.769448690598615,-10.537832415188582,0.26448870769672683,25.289783966691402
2020-08-27,385.81,397.1,371.48,383.27,877763.73658,-0.006605318653611469,0.17249806243135346,1.2192014447326782,49.91855848796351,-10.35807229377502,0.22610256187812758,25.31487206499344
2020-08-28,383.31,398.0,379.75,395.11,732601.46905,0.030424505497155252,-0.18077560909172696,0.9760850420031231,53.805136860374034,-9.168625875725184,0.38135834813886127,24.780548953803354
2020-08-29,395.1,405.69,391.88,398.65,659802.63344,0.00891963180336397,-0.10466110554136066,0.9011131761213217,54.9313014534676,-7.917469851212537,0.4207993329225801,23.954307912158047
2020-08-30,398.65,429.89,398.3,428.94,894979.71788,0.0732332100583113,0.3048603063748878,1.2183638243865638,63.198438313239976,-4.968055084672034,0.7872728095520418,24.527159945205753
2020-08-31,428.94,439.0,418.04,433.79,1040748.68881,0.011243497022514148,0.15089456979173654,1.3028697992809644,64.32680250882596,-2.7210160001557746,0.8171636924386103,24.26049960989253
2020-09-01,433.8,488.84,429.03,475.4,1751354.57719,0.09159600889676422,0.5204491853852673,2.072597611037369,72.20165813862869,1.3201331800861666,1.1567977553669357,26.909166947111796
2020-09-02,475.4,481.39,420.0,439.5,1880642.46853,-0.07851883780086233,0.07122392441596404,1.9660412323622718,59.91303328610491,1.324436119869702,0.7615202616543881,29.470328702973873
2020-09-03,439.5,450.7,372.0,381.4,2408569.34151,-0.14178902395891235,0.2474194799614704,2.151086365120237,46.20655037856794,-2.6214743189471292,0.1933883205399083,33.11661304833686
2020-09-04,381.35,400.21,357.0,385.26,1806488.22474,0.01006973786769283,-0.2876481836923759,1.3497517331916398,47.07287151258733,-4.876333509224633,0.2582102570746465,33.862230835039554
2020-09-05,385.3,395.0,308.42,335.01,2777166.51389,-0.13975804890820154,0.43004641500531626,1.8616237630112795,38.40242263921666,-9.395130732017456,-0.10129766302408627,37.747101149480166
2020-09-06,335.04,360.0,316.1,352.8,2017811.14721,0.051740942006825996,-0.3194178349023389,1.1245807949996054,42.44430577104102,-10.732470386913901,0.10619635989817855,38.199495794276956
2020-09-07,352.85,358.51,323.0,353.59,1740618.42462,0.0022367256879638475,-0.14777286688513946,0.8904862985299069,42.62435180199615,-11.066067332702493,0.15485100999626739,38.0021631930898
2020-09-08,353.59,356.58,325.38,337.39,1400246.82962,-0.04689851855934002,-0.21759193857683634,0.6814966179297017,39.87003151549167,-11.812090393384624,0.08574969260251865,37.504045472878694
2020-09-09,337.41,359.0,330.51,350.85,879760.56255,0.03911925043703768,-0.46475402449631886,0.4388914290995584,43.15666254209408,-10.857752339096137,0.21619694236280268,36.84513965593517
2020-09-10,350.85,377.25,349.91,367.93,1134287.61137,0.04753392098570597,0.2541102952386822,0.6093331146205121,47.10743563762802,-8.63192190028941,0.3485283054965776,36.15149376397525
2020-09-11,367.93,375.27,355.49,373.63,844017.59966,0.015373300232695897,-0.295586730620645,0.5025461530136539,48.39643845903007,-6.432397495556151,0.39749929203972756,34.95861541273861
2020-09-12,373.62,388.57,364.73,387.78,766542.31635,0.03717216558615899,-0.09628344302755742,0.49711335986731253,51.552850843095726,-3.8107439128935923,0.4996000030308224,34.14963877101998
2020-09-13,387.78,390.43,350.0,366.42,989195.69047,-0.05665795203976032,0.25500227502798545,0.7883576855657634,46.89027085455964,-3.319419138339976,0.36170814651050187,34.605983027481905
2020-09-14,366.43,384.64,355.73,377.12,1042059.62265,0.02878322272472289,0.052062261053428927,0.9406484436622555,49.361004361503305,-2.1355393162794325,0.4403229010234168,34.19261082805904
