Model_ID,Coin,TimeFrame,RMSE,Direction_Acc,Features
log_ret_close,BTC,1d,0.025228878053860635,53.07%,"['log_ret_vol', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02603493595113908,52.23%,"['volatility', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.026064960638102648,54.13%,"['rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.027071494187642412,53.31%,"['log_ret_vol', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.027094811209506227,56.20%,"['log_ret_vol', 'volatility', 'log_ret_close']"
log_ret_close,BTC,1d,0.029100025793845727,46.28%,"['log_ret_vol', 'volatility', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02911075208287438,49.59%,"['log_ret_vol', 'volatility', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.02912740690796276,48.35%,"['rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02914723482636662,45.87%,"['volatility', 'rsi', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.029271278241975344,47.11%,"['log_ret_vol', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029287990935002787,46.69%,"['atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029292568546851066,51.24%,"['macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.029296670826401368,52.48%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.02932070174933464,53.31%,"['rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.02932502372417645,53.31%,"['log_ret_vol', 'rsi', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.029330345250510106,49.59%,"['macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.029352202787477875,50.00%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.029375575231389183,52.48%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029384617832002358,49.17%,"['volatility', 'log_ret_close']"
log_ret_close,BTC,1d,0.029386558587429445,51.65%,"['log_ret_vol', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.029386673568166898,54.13%,"['bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.02938849693069643,44.21%,"['volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02940214040019923,46.69%,"['rsi', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029402214957466387,50.00%,"['log_ret_vol', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.0294477988655171,47.93%,"['volatility', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029472449277005784,46.28%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029474589667415587,50.41%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.02947924842439037,46.69%,"['rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029487891014703036,50.83%,"['volatility', 'rsi', 'log_ret_close']"
log_ret_close,BTC,1d,0.029559106845579632,54.55%,"['log_ret_vol', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02956743668883008,52.07%,"['volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.02957375938207344,47.11%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029586603837968788,47.52%,"['volatility', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029627524095370023,53.72%,"['rsi', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.029650614208822916,45.87%,"['log_ret_vol', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029695391748766085,49.17%,"['log_ret_vol', 'volatility', 'rsi', 'log_ret_close']"
log_ret_close,BTC,1d,0.029740297528273223,45.87%,['log_ret_close']
log_ret_close,BTC,1d,0.029748275603981706,47.52%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029759283764251993,47.93%,"['log_ret_vol', 'rsi', 'log_ret_close']"
log_ret_close,BTC,1d,0.02977634559809486,48.76%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.02978829724859223,52.07%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.02979819951774571,47.52%,"['macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02980202377182294,47.52%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.029847722682299314,48.76%,"['volatility', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.02989627362859366,51.24%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02992439691827445,47.52%,"['rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029930304627288122,44.63%,"['log_ret_vol', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.029948204223623643,51.65%,"['rsi', 'log_ret_close']"
log_ret_close,BTC,1d,0.02997849623988014,48.35%,"['log_ret_vol', 'log_ret_close']"
log_ret_close,BTC,1d,0.030041353396425954,49.17%,"['volatility', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.030092480475973925,47.11%,"['volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.0301015850126408,49.17%,"['volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.030133360198135613,48.35%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.030159481921180724,47.93%,"['volatility', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030183189412151867,47.52%,"['log_ret_vol', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.030214655415755673,46.28%,"['log_ret_vol', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.03036154980715942,47.11%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030389324663165324,47.11%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030410988017402846,45.04%,"['volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030415730329397737,48.35%,"['bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.031011153746691337,47.11%,"['log_ret_vol', 'volatility', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.03199753490450077,47.52%,"['log_ret_vol', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.032028616448759324,47.52%,"['macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.0322773724381577,47.11%,"['log_ret_vol', 'volatility', 'atr', 'log_ret_close']"
